"Order","Status","Origination","Extinction","Duration","Volatility"
"Spumellaria*","extant",0.04,0.014,562,0.006
"Nassellaria*","extant",0.078,0.045,243,0.014
"Foraminiferida*","extant",0.225,0.19,575,0.011
"Chitinozoa","extinct",0.079,0,185,0.016
"Spirotrichia*","extant",0.029,0,445,0.003
"Poecilosclerida*","extant",0.121,0.027,562,0.004
"Haplosclerida*","extant",0.025,0.008,543,0.003
"Astrophorida*","extant",0.031,0.011,481,0.003
"Lithistida*","extant",0.093,0.079,543,0.009
"Hadromerida*","extant",0.043,0,534,0.002
"Stromatoporoidea","extinct",0.382,0.389,202,0.017
"Axinellida","extinct",0.085,0.097,212,0.021
"Tabulospongida *","extant",0.047,0.039,445,0.01
"Pharetronida*","extant",0.051,0.043,309,0.011
"Permosphincta","extinct",0.086,0.09,382.5,0.011
"Hexactinosida*","extant",0.044,0.017,377,0.005
"Lychniscosida*","extant",0.132,0.125,231,0.012
"Reticulosa","extinct",0.054,0.062,431,0.01
"Monocyathida","extinct",0.405,0.49,32,0.06
"Lyssacinosida*","extant",0.048,0.029,465,0.007
"Ajacicyathida","extinct",0.488,0.499,35,0.086
"Capsulocyathida","extinct",0.286,0.428,32,0.027
"Archaeocyathida","extinct",0.34,0.371,62,0.049
"Conulariida","extinct",0.072,0.089,367,0.014
"Hydroida*","extant",0.031,0.018,600,0.006
"Gorgonida*","extant",0.066,0,445,0.004
"Tabulata","extinct",0.385,0.387,295,0.018
"Rugosa","extinct",0.482,0.483,217,0.023
"Scleractinia*","extant",0.151,0.124,243,0.015
"Vologdinophyllida","extinct",0,0.5,47,0.004
"Chintonida*","extant",0.079,0,202,0.007
"Cyrtonellida","extinct",0.069,0.09,203,0.015
"Archaeogastropoda *","extant",0.081,0.065,518,0.01
"Neotaenoglossa *","extant",0.09,0.049,494,0.01
"Neogastropoda*","extant",0.15,0.089,124,0.016
"Heterostrophia*","extant",0.073,0.058,385,0.01
"Cephalaspidea*","extant",0.035,0,210,0.008
"Ellesmerocerida","extinct",0.361,0.42,70.5,0.032
"Orthocerida","extinct",0.166,0.174,292,0.022
"Actinocerida","extinct",0.151,0.176,199,0.014
"Endocerida","extinct",0.361,0.401,85,0.032
"Discosorida","extinct",0.42,0.433,121,0.025
"Oncocerida","extinct",0.311,0.32,161,0.027
"Nautilida*","extant",0.093,0.093,408.5,0.015
"Barrandeocerida","extinct",0.226,0.259,112,0.037
"Anarcestida","extinct",0.204,0.231,155,0.025
"Clymeniida","extinct",0,1,9,0.008
"Goniatitida","extinct",0.393,0.401,137,0.029
"Prolecanitida","extinct",0.181,0.212,117,0.03
"Ceratitida","extinct",0.481,0.5,55,0.044
"Phyllocerida","extinct",0.066,0.098,180.5,0.019
"Ammonitida","extinct",0.452,0.456,148,0.037
"Belemnitida","extinct",0.469,0.488,193,0.018
"Sepiida*","extant",0.165,0.131,83,0.026
"Teuthida*","extant",0.089,0.063,236,0.013
"Nuculoida*","extant",0.013,0.004,562,0.002
"Actinodontoida","extinct",0.12,0.145,193,0.017
"Arcoida*","extant",0.031,0.005,481,0.005
"Pterioida*","extant",0.062,0.048,494,0.01
"Veneroida*","extant",0.068,0.028,468.6,0.008
"Myoida*","extant",0.038,0,258,0.007
"Hippuritoida","extinct",0.086,0.096,361,0.01
"Pholadomyoida*","extant",0.075,0.05,465,0.013
"Orthothecida","extinct",0.133,0.149,198,0.023
"Hyolithida","extinct",0.113,0.123,322,0.013
"Eunicemorpha*","extant",0.046,0.034,505,0.008
"Phyllodocemorpha *","extant",0.016,0,534,0.003
"Onychophora","extinct",0,0.167,44,0.023
"Xiphosurida*","extant",0.044,0.044,481,0.008
"Eurypterida","extant",0.26,0.279,96,0.032
"Agnostida","extinct",0.365,0.388,124,0.023
"Redlichiida","extinct",0.29,0.342,44,0.056
"Corynexochidia","extinct",0.34,0.352,149.5,0.034
"Asaphida","extinct",0.344,0.353,140.5,0.03
"Ptychopariida","extinct",0.444,0.45,193,0.03
"Proetida","extinct",0.128,0.136,257,0.014
"Phacopida","extinct",0.289,0.298,153,0.029
"Archaeocopida","extinct",0.276,0.299,68,0.048
"Paleocopida","extinct",0.204,0.206,399,0.014
"Myodocopida*","extant",0.04,0.026,481,0.007
"Metacopida","extinct",0.068,0.075,396.5,0.011
"Podocopida*","extant",0.046,0.016,468.6,0.009
"Thoracica*","extant",0.096,0.036,534,0.005
"Archaeostraca","extinct",0.097,0.118,219,0.016
"Stomatopoda*","extant",0.026,0,333,0.002
"Decapoda*","extant",0.115,0.065,369,0.011
"Mysidacea*","extant",0.022,0,360,0.002
"Isopoda*","extant",0.038,0.019,309,0.006
"Cyclostomata*","extant",0.072,0.049,494,0.01
"Cystoporata","extinct",0.12,0.129,246,0.017
"Trepostomata","extinct",0.188,0.192,292,0.017
"Cryptostomata","extinct",0.195,0.203,246,0.022
"Fenestrata","extinct",0.077,0.084,238,0.017
"Ctenostomata*","extant",0.027,0.009,494,0.005
"Cheilostomata*","extant",0.507,0.425,153,0.02
"Lingulida*","extant",0.049,0.049,575,0.005
"Acrotretida*","extant",0.043,0.038,562,0.007
"Orthida","extinct",0.461,0.466,314,0.018
"Strophomenida","extinct",0.429,0.432,318,0.021
"Pentamerida","extinct",0.212,0.23,165,0.025
"Rhynchonellida*","extant",0.114,0.104,481,0.017
"Spiriferida","extinct",0.265,0.268,269,0.025
"Atrypida","extinct",0.448,0.466,96,0.034
"Terebratulida*","extant",0.075,0.051,412.5,0.013
"Mitrata","extinct",0.342,0.362,185,0.021
"Soluta","extinct",0.125,0.167,161.5,0.022
"Diplobathrida","extinct",0.308,0.327,148,0.036
"Monobathrida","extinct",0.288,0.296,212,0.02
"Dispariida","extinct",0.433,0.44,252,0.016
"Hybocrinida","extinct",0.194,0.271,82.5,0.028
"Cladida","extinct",0.411,0.413,292,0.021
"Sagenocrinida","extinct",0.19,0.199,192,0.018
"Millericrinida*","extant",0.041,0.041,243,0.007
"Cyrtocrinida*","extant",0.087,0.087,202,0.017
"Comatulida*","extant",0.085,0.046,223,0.017
"Dichoporita","extinct",0.189,0.21,136,0.025
"Fistuliporita","extinct",0.421,0.496,102.5,0.031
"Glyptosphaeritida","extinct",0.227,0.283,85,0.03
"Fissiculata","extinct",0.09,0.107,173,0.015
"Spiraculata","extinct",0.139,0.159,173,0.019
"Isorophida","extinct",0.125,0.147,254,0.019
"Echinocystitoida","extinct",0.097,0.116,172,0.019
"Echinoida*","extant",0.093,0,138,0.009
"Holectypoida*","extant",0.075,0.075,202,0.014
"Clypeasteroida*","extant",0.111,0,60.2,0.021
"Cassiduloida*","extant",0.075,0.051,195,0.015
"Spatangoida*","extant",0.066,0.011,210,0.008
"Dendrochirotida *","extant",0.02,0.005,465,0.003
"Pustulosida","extinct",0.103,0.131,236,0.012
"Hemizonida","extinct",0.063,0.089,145,0.014
"Uractinida","extinct",0.107,0.139,186,0.019
"Valvatida*","extant",0.037,0.005,213,0.008
"Stenurida","extinct",0.144,0.169,174,0.019
"Ophiurida*","extant",0.024,0,438,0.003
"Graptoloidea","extinct",0.306,0.324,113.5,0.034
"Rhabdopleurida *","extant",0.025,0.025,534,0.003
"Prioniodontida","extinct",0.424,0.442,145,0.029
"Prioniodinida","extinct",0.062,0.082,281,0.011
"Ozarkodinida","extinct",0.194,0.207,219.5,0.024
